tsne_1,tsne_2,dataset_source
-69.15804,-27.915163,Real Data
10.9279,-37.557655,Real Data
52.84203,-15.768957,Real Data
44.849773,-8.059845,Real Data
3.3335438,51.03592,Real Data
-14.731519,-8.197733,Real Data
9.578546,11.455288,Real Data
-56.651756,-2.181571,Real Data
54.08188,-10.411582,Real Data
9.180443,16.899542,Real Data
-53.096207,-37.6489,Real Data
56.558067,-11.5894,Real Data
-60.96843,-40.938347,Real Data
9.099827,-27.664368,Real Data
-24.516317,13.314063,Real Data
20.014812,-50.42416,Real Data
53.15921,-1.9159561,Real Data
18.469446,34.62768,Real Data
-5.7001033,40.983913,Real Data
53.622177,-27.144812,Real Data
24.817457,24.591827,Real Data
9.644305,32.691845,Real Data
34.55282,15.117031,Real Data
3.4768953,22.1206,Real Data
18.47626,39.052666,Real Data
-62.812637,-20.601135,Real Data
11.849829,27.626162,Real Data
-13.29846,22.24459,Real Data
-2.0152466,-33.147858,Real Data
53.496548,-2.8491654,Real Data
64.848976,-14.262547,Real Data
-29.639122,22.954386,Real Data
44.259075,-4.1501822,Real Data
31.023453,-7.1720533,Real Data
65.72449,30.771807,Real Data
-5.1188,22.534855,Real Data
9.324604,21.239695,Real Data
6.1771536,4.9022517,Real Data
62.8621,6.334821,Real Data
-38.088184,27.999445,Real Data
-12.795736,51.905975,Real Data
-16.831879,-4.776108,Real Data
-24.383163,-33.431156,Real Data
-8.536614,38.663593,Real Data
22.03168,5.016605,Real Data
-15.28797,-9.416337,Real Data
-22.283781,-8.215743,Real Data
20.465017,49.15926,Real Data
-62.090374,-24.537205,Real Data
-60.160114,-25.750553,Real Data
23.64978,-38.043743,Real Data
-18.419065,33.62755,Real Data
10.575369,54.71022,Real Data
58.846893,-2.3144364,Real Data
4.679641,-28.317595,Real Data
20.992376,-11.341065,Real Data
8.672622,7.3578196,Real Data
8.238741,25.003122,Real Data
31.283842,-4.2364893,Real Data
-39.803738,-0.5314055,Real Data
24.313705,27.20405,Real Data
69.910126,-0.7494403,Real Data
11.126516,-4.6568995,Real Data
13.0933485,48.349247,Real Data
-52.517838,-27.555813,Real Data
58.05524,-15.221175,Real Data
46.73993,8.653464,Real Data
-22.28341,-8.216093,Real Data
-6.956598,11.21088,Real Data
-10.089235,30.728558,Real Data
-35.718777,8.028177,Real Data
71.933914,34.020805,Real Data
8.071548,31.178595,Real Data
65.59076,13.458339,Real Data
-9.375012,-10.00961,Real Data
46.876553,-23.652094,Real Data
32.61861,-12.251732,Real Data
-46.673416,-22.189108,Real Data
42.3774,11.583438,Real Data
-35.263245,5.595506,Real Data
-23.74951,-18.473701,Real Data
-12.969494,-46.7136,Real Data
-22.150837,-23.462694,Real Data
28.813505,37.5373,Real Data
22.929928,-14.727609,Real Data
-22.388498,-3.293501,Real Data
21.440622,-20.16406,Real Data
30.883068,23.439451,Real Data
28.431458,46.023556,Real Data
-3.452344,53.70494,Real Data
-54.747864,-31.415346,Real Data
